first,second
"(""C8-rem_obl_gross"", ""Learning_gains_per_em"")","[0.8657322828870534, 0.8657322828870534, 1.7205121512042645, 1.7205121512042645, 3.395421601310391, 3.395421601310391, 0.8657322828870534, 0.8657322828870534, 1.7205121512042645, 1.7205121512042645, 3.3951808107738595, 3.3951808107738595, 0.8657322828870534, 0.8657322828870534, 1.7205121512042645, 1.7205121512042645, 3.3951202117533987, 3.3951202117533987, 0.8657322828870534, 0.8657322828870534, 1.7205022009913997, 1.7205022009913997, 3.4358316326049603, 3.4358316326049603, 0.8657322828870534, 0.8657322828870534, 1.7205121512042645, 1.7205121512042645, 3.4245238035398406, 3.4245238035398406, 0.8657322828870534, 0.8657322828870534, 1.7205121512042645, 1.7205121512042645, 3.4218193585712773, 3.4218193585712773, 0.8657322828870534, 0.8657322828870534, 1.7209930341124318, 1.7209930341124318, 3.453568128183353, 3.453568128183353, 0.8657322828870534, 0.8657322828870534, 1.7208813347700973, 1.7208813347700973, 3.446452139068922, 3.446452139068922, 0.8657322828870534, 0.8657322828870534, 1.7211152771772709, 1.7211152771772709, 3.4468834839333042, 3.4468834839333042]"
"(""C3-full_integration_net_cap"", ""Fraction_removals"")","[0.6947293022145289, 0.740519906882349, 0.5843621399176955, 0.6467078189300411, 0.4769597132546094, 0.5554157562664183, 0.7150360162471929, 0.7577806138101141, 0.6080862646129457, 0.666873324921004, 0.5014610486987671, 0.5762418913939518, 0.7327481346792898, 0.7728359144773967, 0.6291586494533963, 0.6847848520353871, 0.5233176755275611, 0.5948200241984273, 0.5997852526378824, 0.6598174647421998, 0.4726388787265351, 0.5517430469175548, 0.369861447275638, 0.46438223018429214, 0.6165955911993719, 0.6741062525194661, 0.490275130311567, 0.5667338607648319, 0.3845396454083488, 0.47685869859709634, 0.6308595870334583, 0.6862306489784397, 0.5057215207497588, 0.5798632926372945, 0.39789909932090023, 0.4882142344227651, 0.5318950458648473, 0.60211078898512, 0.398008723816567, 0.48830741524408205, 0.30689857400235643, 0.41086378790200295, 0.5419221379451724, 0.6106338172533965, 0.4079160786131064, 0.49672866682114053, 0.3143698794071618, 0.41721439749608763, 0.5511805799107098, 0.6185034929241036, 0.4173660217523959, 0.5047611184895364, 0.321368268959294, 0.42316302861539984]"
"(""C8-rem_obl_gross"", ""Fraction_costs_rem"")","[0.21804112280928822, 0.21804112280928822, 0.18979883770334569, 0.18979883770334569, 0.17509768103170661, 0.17509768103170661, 0.2286469198768159, 0.2286469198768159, 0.19949402993212872, 0.19949402993212872, 0.177872295571866, 0.177872295571866, 0.23840757952516284, 0.23840757952516284, 0.20836758546211803, 0.20836758546211803, 0.17648299092532718, 0.17648299092532718, 0.18573716904782817, 0.18573716904782817, 0.17480511072817279, 0.17480511072817279, 0.15604125391445756, 0.15604125391445756, 0.18991747044636165, 0.18991747044636165, 0.17322753887702966, 0.17322753887702966, 0.1582910657209632, 0.1582910657209632, 0.19432676312959657, 0.19432676312959657, 0.1716831152554818, 0.1716831152554818, 0.16085858394771288, 0.16085858394771288, 0.17400696521580758, 0.17400696521580758, 0.17230890705406082, 0.17230890705406082, 0.15325379998922878, 0.15325379998922878, 0.17587324138294932, 0.17587324138294932, 0.17344565881435925, 0.17344565881435925, 0.1531151050296693, 0.1531151050296693, 0.1772555001862774, 0.1772555001862774, 0.1743463880240618, 0.1743463880240618, 0.15295316063579772, 0.15295316063579772]"
"(""C3-full_integration_net_cap"", ""Total_costs_per_net"")","[238.26894385023792, 223.535404736618, 285.68068741671215, 258.13972391456014, 368.07411769011037, 316.0812844238228, 238.42675906334858, 224.9776740924995, 286.5324672033767, 261.27369495949216, 369.7636458900172, 321.77817754648885, 238.08709652013252, 225.7372782478751, 286.3886023387093, 263.1247839824542, 370.3881945593873, 325.8644314822331, 236.7032638513875, 215.167276550926, 280.10546779037776, 239.9463572060169, 351.97247984685424, 280.3316801025955, 236.92975158777912, 216.71634064656354, 281.208908208689, 243.27068428684905, 354.89496749092956, 286.1878903701737, 237.34206970340844, 218.1912456134888, 282.231300425236, 246.14498670035758, 357.39403615981564, 291.27943239669884, 235.19772711030498, 207.76991234371505, 276.4652801993416, 225.3408199765467, 342.5609371051767, 255.87911663698392, 235.40130491767897, 208.91273105356734, 277.2386012886357, 227.66973326015767, 344.31916322555827, 259.443524649239, 235.64073600240172, 209.99169609593116, 277.53074959237887, 229.4786595646485, 345.7263605942248, 262.55952085725124]"
"(""C2-disconnected"", ""Fraction_removals"")","[0.40514946541566654, 0.4943770456033166, 0.40549282880683557, 0.49466890448580975, 0.4063990530237092, 0.4954391950701528, 0.4051756491381191, 0.4943993017674012, 0.40519639042678385, 0.4944169318627667, 0.4063903491975072, 0.4954317968178811, 0.40514073750818236, 0.49436962688195496, 0.4056231904280177, 0.494779711863815, 0.4064164606761132, 0.49545399157469616, 0.40493934898333184, 0.494198446635832, 0.4053707659444614, 0.49456515105279175, 0.40637294154510323, 0.49541700031333774, 0.4048595716455166, 0.4941306358986891, 0.4053620471685776, 0.4945577400932905, 0.4063990530237092, 0.49543919507015294, 0.4047793604245216, 0.49406245636084334, 0.40537948472034535, 0.49457256201229305, 0.40639905302370916, 0.4954391950701528, 0.40496783822233073, 0.494222662488981, 0.40522254675443575, 0.4944391647412699, 0.40642516450231525, 0.495461389826968, 0.4050044074394086, 0.49425374632349733, 0.4054492349274163, 0.49463184968830337, 0.40635553389269924, 0.4954022038087944, 0.4049050840061095, 0.4941693214051931, 0.4054143598238808, 0.4946022058502982, 0.4064338683285172, 0.4954687880792396]"
"(""C5-conditional_integration"", ""ETS_avg"")","[191.7440355873089, 191.7440355873089, 239.2802535830761, 239.2802535830761, 278.30421594548784, 278.30421594548784, 191.7432450303179, 191.7432450303179, 239.28412336150234, 239.28412336150234, 278.33295382682917, 278.33295382682917, 191.74579594609477, 191.74579594609477, 239.28830690852266, 239.28830690852266, 278.3623137371497, 278.3623137371497, 191.74207753782886, 191.74207753782886, 239.27749123908058, 239.27749123908058, 278.2514865822759, 278.2514865822759, 191.74226961462907, 191.74226961462907, 239.27765462934425, 239.27765462934425, 278.25215040194945, 278.25215040194945, 191.74213319045057, 191.74213319045057, 239.27729979955305, 239.27729979955305, 278.2539356615766, 278.2539356615766, 191.7406953287793, 191.7406953287793, 239.27740320696003, 239.27740320696003, 278.2502422558195, 278.2502422558195, 191.73920392744202, 191.73920392744202, 239.27742878523128, 239.27742878523128, 278.2503993775432, 278.2503993775432, 191.7399012670363, 191.7399012670363, 239.27742188675194, 239.27742188675194, 278.25047040532587, 278.25047040532587]"
"(""C6-removal_obligation"", ""Learning_gains_per_rem"")","[12.35922843036889, 12.359228430368892, 20.531259680962915, 20.53125968096291, 35.834070014834126, 35.83407001483415, 14.141731094320773, 14.141731094320777, 22.969716564645502, 22.969716564645505, 39.5081664460508, 39.5081664460508, 15.66241348578251, 15.662413485782508, 25.058845761160192, 25.05884576116019, 42.59916271409798, 42.599162714097965, 23.006930613010518, 23.006930613010528, 43.417397248913474, 43.41739724891349, 83.2114624873864, 83.21146248738641, 27.12332902646026, 27.12332902646026, 49.93301290382045, 49.933012903820455, 94.52378265670991, 94.52378265670993, 30.944704163575963, 30.944704163575967, 55.66152581199121, 55.66152581199122, 104.38674132520059, 104.38674132520062, 31.086609961217814, 31.086609961217814, 67.0232028627193, 67.0232028627193, 146.4287261816406, 146.42872618164057, 37.44817292362659, 37.4481729236266, 79.32753556643301, 79.327535566433, 168.80987286151634, 168.80987286151625, 43.593532296133866, 43.59353229613387, 90.57046260984944, 90.57046260984943, 188.94058433570004, 188.9405843357]"
"(""C0-social_optimal"", ""Total_net_emissions"")",Any[]
"(""C0-social_optimal"", ""Emitter_cost_avg"")",Any[]
"(""C5-conditional_integration"", ""Fraction_costs_abat"")","[0.9458027558580383, 0.9458027558580383, 0.8505225490180178, 0.8505225490180178, 0.6746376503408164, 0.6746376503408164, 0.9439929154601603, 0.9439929154601603, 0.8414918865747449, 0.8414918865747449, 0.6568930468209928, 0.6568930468209928, 0.94267040560163, 0.94267040560163, 0.8340684204621832, 0.8340684204621832, 0.6428286022113983, 0.6428286022113983, 0.9528862324500009, 0.9528862324500009, 0.884505497055772, 0.884505497055772, 0.7609260834535595, 0.7609260834535595, 0.9519910290989737, 0.9519910290989737, 0.8799908759295181, 0.8799908759295181, 0.74929278167186, 0.74929278167186, 0.9508724853415096, 0.9508724853415096, 0.875832338630144, 0.875832338630144, 0.7384779969262139, 0.7384779969262139, 0.9560432863938292, 0.9560432863938292, 0.8975051915782541, 0.8975051915782541, 0.800645080714788, 0.800645080714788, 0.9554848404663915, 0.9554848404663915, 0.8959441167800756, 0.8959441167800756, 0.7960115249812331, 0.7960115249812331, 0.9549804265375167, 0.9549804265375167, 0.8942692105722291, 0.8942692105722291, 0.7919108513606673, 0.7919108513606673]"
