first,second
"(""C1-no_removals"", ""Learning_gains_per_rem"")","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"(""C2-disconnected"", ""Total_costs_per_net"")","[368.87730091559524, 302.3005266912109, 418.91570511393905, 343.39598215665524, 517.1117819966141, 424.1766509431487, 377.49035447010044, 309.3651201954156, 427.81628905241473, 350.6142385470245, 525.777668074092, 431.28231070608086, 386.09911066010295, 316.41199203655424, 435.7885374944809, 357.26189391355825, 534.2822017031774, 438.2668928113979, 344.592955632021, 282.3546857902151, 394.4632750833704, 323.3221742719149, 492.58209201160116, 404.04756711334437, 347.6403353891866, 284.8346308590886, 397.3958408170372, 325.7237295274874, 495.4400729546487, 406.39977313514026, 350.66587514873316, 287.2962857994221, 400.2628465178588, 328.0779382784992, 498.32323484759047, 408.76477427890256, 336.696816864642, 275.8905902358415, 386.8395490797185, 317.03820902910957, 484.6662309267288, 397.56993517074096, 337.61622735293525, 276.6515400603725, 387.45838902221783, 317.5992558794224, 485.75508941002533, 398.44245177094757, 338.729749813896, 277.5433274849236, 388.4801819970435, 318.42851169221314, 486.58281553614006, 399.14469031883124]"
"(""C4-full_integration_gross_cap"", ""Total_costs_per_net"")","[111.34578478481922, 110.91952600971219, 169.02259695955928, 162.2722325626544, 368.8805521414826, 321.9605059051126, 110.61325912839568, 110.29809092573097, 158.26611162391373, 153.58537161982343, 349.5987459058768, 308.7121117964473, 110.15900741590605, 109.91214497756214, 151.6996685533205, 148.19196115279283, 323.82659400953173, 290.5766275328434, 118.27740119142086, 116.73707117369068, 241.13389080793388, 216.46273835576883, 388.6605251739688, 334.1224187052625, 115.50057726649257, 114.41838024984636, 228.80874261203007, 207.52815093269538, 383.5980270714273, 330.8484494417398, 113.80818380581543, 112.99738008999391, 217.4118961228359, 199.15531607308972, 379.0215201306815, 327.87697357140485, 129.30424477483498, 125.78289131635367, 264.71766322203064, 233.09556701797703, 398.63641979143404, 340.2658203421892, 126.94585921936707, 123.86482049422563, 260.57189982446175, 230.17686999150914, 393.6734025658221, 336.9723275053639, 124.89690917995605, 122.19433116290128, 256.09137387483, 227.0107477527391, 390.25813768551967, 334.7226062767553]"
"(""C4-full_integration_gross_cap"", ""ETS_price"")",Any[]
"(""C7-equivalence_obligation"", ""Total_emissions"")","[24.818099999999994, 24.818099999999994, 29.227500000000003, 29.227500000000003, 35.392199999999995, 35.392199999999995, 24.150599999999997, 24.150599999999997, 28.155900000000006, 28.155900000000006, 33.859199999999994, 33.859199999999994, 23.636699999999994, 23.636699999999994, 27.331499999999995, 27.331499999999995, 32.6739, 32.6739, 28.913100000000007, 28.913100000000007, 36.236700000000006, 36.236700000000006, 45.367200000000004, 45.367200000000004, 28.128, 28.128, 34.94250000000001, 34.94250000000001, 43.7124, 43.7124, 27.463500000000003, 27.463500000000003, 33.8742, 33.8742, 42.3057, 42.3057, 33.023399999999995, 33.023399999999995, 43.29000000000001, 43.29000000000001, 53.91269999999999, 53.91269999999999, 32.3727, 32.3727, 42.2373, 42.2373, 52.7706, 52.7706, 31.8036, 31.8036, 41.306099999999994, 41.306099999999994, 51.744299999999996, 51.744299999999996]"
"(""C4-full_integration_gross_cap"", ""Total_net_emissions"")","[33.548399999999994, 33.67732499999998, 26.937899999999996, 28.058489999999992, 17.4825, 20.030265, 33.7647, 33.86117999999998, 28.59779999999999, 29.46935999999999, 18.305099999999996, 20.72947500000001, 33.9003, 33.97643999999999, 29.718599999999988, 30.422039999999992, 19.552200000000013, 21.78951000000001, 31.624799999999993, 32.04208499999999, 19.552199999999978, 21.78064499999998, 16.506, 19.20024, 32.36699999999999, 32.673134999999995, 20.437199999999986, 22.532895000000003, 16.7082, 19.37211, 32.8371, 33.07271999999999, 21.356699999999982, 23.31446999999999, 16.896600000000003, 19.532250000000005, 28.991099999999992, 29.802719999999983, 18.067799999999977, 20.518904999999982, 16.0791, 18.837375, 29.511899999999994, 30.24598499999998, 18.299099999999978, 20.715509999999977, 16.2447, 18.978135, 29.98229999999999, 30.64541999999998, 18.558899999999976, 20.93633999999998, 16.3656, 19.0809]"
"(""C8-rem_obl_gross"", ""RC_max"")","[650.2351517614956, 650.2351517614956, 647.5172131336623, 647.5172131336623, 638.2316851190812, 638.2316851190812, 722.380815495058, 722.380815495058, 719.6280163239519, 719.6280163239519, 690.9803574311951, 690.9803574311951, 793.2267228074425, 793.2267228074425, 787.0140794507081, 787.0140794507081, 756.0470849801527, 756.0470849801527, 488.95905859460015, 488.95905859460015, 486.7448082988821, 486.7448082988821, 486.6881000897141, 486.6881000897141, 517.6481344179147, 517.6481344179147, 516.7816447554812, 516.7816447554812, 516.907054583434, 516.907054583434, 545.4595358286484, 545.4595358286484, 545.175967624868, 545.175967624868, 545.1168314630809, 545.1168314630809, 448.71571675716007, 448.71571675716007, 442.9354370679161, 442.9354370679161, 442.9109231667434, 442.9109231667434, 462.1338829374644, 462.1338829374644, 461.86049278789795, 461.86049278789795, 461.86839912894663, 461.86839912894663, 476.97573656961475, 476.97573656961475, 480.37727552295945, 480.37727552295945, 480.3922406973342, 480.3922406973342]"
"(""C0-social_optimal"", ""Total_budget_per_net"")",Any[]
"(""C3-full_integration_net_cap"", ""Learning_gains_per_em"")","[1.112722318443619, 1.112722318443619, 1.9458415574002574, 1.9458415574002574, 3.3441204670512583, 3.3441204670512583, 1.1299351033610632, 1.1299351033610632, 1.9873728650540752, 1.9873728650540752, 3.4369405453397373, 3.4369405453397373, 1.143844575229882, 1.143844575229882, 2.020588073345274, 2.020588073345274, 3.5129781986086877, 3.5129781986086877, 1.0459608792576223, 1.0459608792576223, 1.770076981615377, 1.770076981615377, 2.9195585346085813, 2.9195585346085813, 1.0596238221688683, 1.0596238221688683, 1.8042047008903916, 1.8042047008903916, 2.9963040164691064, 2.9963040164691064, 1.0717309533746482, 1.0717309533746482, 1.8340622724561646, 1.8340622724561646, 3.063759440893257, 3.063759440893257, 1.0048382864975407, 1.0048382864975407, 1.6566837554781566, 1.6566837554781566, 2.637101940150188, 2.637101940150188, 1.0130313793654862, 1.0130313793654862, 1.6785960889974036, 1.6785960889974036, 2.6875586752298806, 2.6875586752298806, 1.0209731962720634, 1.0209731962720634, 1.6980667039037758, 1.6980667039037758, 2.732699283852992, 2.732699283852992]"
"(""C0-social_optimal"", ""Fraction_costs_abat"")",Any[]
"(""C2-disconnected"", ""Emitter_cost_avg"")","[269.78019094331995, 269.78019094331995, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.7801909433199, 269.7801909433199, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.78019094331984, 269.78019094331984, 378.52545162565127, 378.52545162565127, 593.2479163794685, 593.2479163794685, 269.7625618871917, 269.7625618871917, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.77697496920683, 269.77697496920683, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.7791557311514, 269.7791557311514, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.77801452311024, 269.77801452311024, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.7759303230873, 269.7759303230873, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.7801909433199, 269.7801909433199, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685]"
"(""C3-full_integration_net_cap"", ""Fraction_costs_abat"")","[0.9666373077070997, 0.9666373077070997, 0.9389134953586689, 0.9389134953586689, 0.8976031893112871, 0.8976031893112871, 0.9690939839475542, 0.9690939839475542, 0.943364550100196, 0.943364550100196, 0.9049117245081137, 0.9049117245081137, 0.9711950823791359, 0.9711950823791359, 0.9471516233262499, 0.9471516233262499, 0.9109942738739896, 0.9109942738739896, 0.9580393187139631, 0.9580393187139631, 0.9208467263577982, 0.9208467263577982, 0.8684581261455946, 0.8684581261455946, 0.9603985737998268, 0.9603985737998268, 0.925368349724924, 0.925368349724924, 0.8744610322281351, 0.8744610322281351, 0.9622261697485267, 0.9622261697485267, 0.9290461309973184, 0.9290461309973184, 0.879842989017417, 0.879842989017417, 0.9511487063132309, 0.9511487063132309, 0.904977534472196, 0.904977534472196, 0.8437745627465534, 0.8437745627465534, 0.9528860086664038, 0.9528860086664038, 0.9085750736125435, 0.9085750736125435, 0.8489260913497007, 0.8489260913497007, 0.9545440643947757, 0.9545440643947757, 0.9118174136851336, 0.9118174136851336, 0.8534106586746383, 0.8534106586746383]"
"(""C7-equivalence_obligation"", ""ETS_price"")",Any[]
"(""C0-social_optimal"", ""Total_costs_per_abat"")",Any[]
"(""C1-no_removals"", ""Total_costs_per_net"")","[370.0698011907376, 370.0698011907376, 696.7252117620103, 696.7252117620103, 1525.454411458525, 1525.454411458525, 370.0698011907376, 370.0698011907376, 696.7252117620103, 696.7252117620103, 1525.454411458525, 1525.454411458525, 370.0698011907376, 370.0698011907376, 696.7252117620103, 696.7252117620103, 1525.454411458525, 1525.454411458525, 370.0698011907376, 370.0698011907376, 696.7252117620103, 696.7252117620103, 1525.454411458525, 1525.454411458525, 370.0698011907376, 370.0698011907376, 696.7252117620103, 696.7252117620103, 1525.454411458525, 1525.454411458525, 370.0698011907376, 370.0698011907376, 696.7252117620103, 696.7252117620103, 1525.454411458525, 1525.454411458525, 370.0698011907376, 370.0698011907376, 696.7252117620103, 696.7252117620103, 1525.454411458525, 1525.454411458525, 370.0698011907376, 370.0698011907376, 696.7252117620103, 696.7252117620103, 1525.454411458525, 1525.454411458525, 370.0698011907376, 370.0698011907376, 696.7252117620103, 696.7252117620103, 1525.454411458525, 1525.454411458525]"
"(""C1-no_removals"", ""Total_costs_per_abat"")","[30.23609187071996, 30.23609187071996, 56.91659527649784, 56.91659527649784, 124.60058123389727, 124.60058123389727, 30.23609187071996, 30.23609187071996, 56.91659527649784, 56.91659527649784, 124.60058123389727, 124.60058123389727, 30.23609187071996, 30.23609187071996, 56.91659527649784, 56.91659527649784, 124.60058123389727, 124.60058123389727, 30.23609187071996, 30.23609187071996, 56.91659527649784, 56.91659527649784, 124.60058123389727, 124.60058123389727, 30.23609187071996, 30.23609187071996, 56.91659527649784, 56.91659527649784, 124.60058123389727, 124.60058123389727, 30.23609187071996, 30.23609187071996, 56.91659527649784, 56.91659527649784, 124.60058123389727, 124.60058123389727, 30.23609187071996, 30.23609187071996, 56.91659527649784, 56.91659527649784, 124.60058123389727, 124.60058123389727, 30.23609187071996, 30.23609187071996, 56.91659527649784, 56.91659527649784, 124.60058123389727, 124.60058123389727, 30.23609187071996, 30.23609187071996, 56.91659527649784, 56.91659527649784, 124.60058123389727, 124.60058123389727]"
"(""C4-full_integration_gross_cap"", ""RC_max"")","[380.0, 380.0, 380.0, 380.0, 643.864772279712, 643.864772279712, 380.0, 380.0, 380.0, 380.0, 643.8642482753188, 643.8642482753188, 380.0, 380.0, 380.0, 380.0, 643.8643012756982, 643.8643012756982, 380.0, 380.0, 380.0, 380.0, 498.2189999885285, 498.2189999885285, 380.0, 380.0, 380.0, 380.0, 527.5619999873321, 527.5619999873321, 380.0, 380.0, 380.0, 380.0, 552.4439999950489, 552.4439999950489, 380.0, 380.0, 380.0, 380.0, 437.94299978367985, 437.94299978367985, 380.0, 380.0, 380.0, 380.0, 444.56924197792557, 444.56924197792557, 380.0, 380.0, 380.0, 380.0, 444.5692418199687, 444.5692418199687]"
"(""C8-rem_obl_gross"", ""Learning_gains_per_rem"")","[34.873065397086116, 34.873065397086116, 34.69554982876215, 34.69554982876215, 43.77732476940108, 43.77732476940108, 43.30637721829881, 43.30637721829881, 43.137275924979406, 43.137275924979406, 50.92964749618153, 50.92964749618153, 51.54341113831611, 51.54341113831611, 51.36971416570074, 51.36971416570074, 55.81835751582825, 55.81835751582825, 46.36880789735139, 46.36880789735139, 53.206676237362544, 53.206676237362544, 65.58575039209084, 65.58575039209083, 57.874316007284236, 57.874316007284236, 62.47898984660699, 62.47898984660699, 80.22099251113649, 80.22099251113649, 69.34614765844651, 69.3461476584465, 70.95086038502424, 70.95086038502424, 94.69072851061682, 94.69072851061681, 49.95509962616553, 49.95509962616553, 64.11717703329882, 64.11717703329882, 80.95089398211681, 80.95089398211681, 62.588281867339944, 62.58828186733995, 79.50990974433877, 79.50990974433876, 98.23225259230723, 98.23225259230725, 74.95206132909793, 74.95206132909792, 94.72267145064065, 94.72267145064065, 114.50446201091319, 114.50446201091319]"
"(""C6-removal_obligation"", ""Fraction_costs_abat"")","[0.9287174951191173, 0.9287174951191173, 0.9054000631533707, 0.9054000631533707, 0.8702650657364206, 0.8702650657364206, 0.9320932930627186, 0.9320932930627186, 0.9108510388210362, 0.9108510388210362, 0.8781179095919152, 0.8781179095919152, 0.9352049140357132, 0.9352049140357132, 0.9154342278585598, 0.9154342278585598, 0.8846164319867617, 0.8846164319867617, 0.9151623700090895, 0.9151623700090895, 0.8796644587236531, 0.8796644587236531, 0.8332297765995155, 0.8332297765995155, 0.9175168351345252, 0.9175168351345252, 0.884492234646784, 0.884492234646784, 0.8391743887807596, 0.8391743887807596, 0.9195915714522104, 0.9195915714522104, 0.8887267857732661, 0.8887267857732661, 0.8445449975509132, 0.8445449975509132, 0.9051107368587215, 0.9051107368587215, 0.8581452675494361, 0.8581452675494361, 0.8056251699819452, 0.8056251699819452, 0.9070065161033602, 0.9070065161033602, 0.8613383834222943, 0.8613383834222943, 0.8099335412710513, 0.8099335412710513, 0.9083873194905387, 0.9083873194905387, 0.8644014950585239, 0.8644014950585239, 0.8141372968639502, 0.8141372968639502]"
"(""C6-removal_obligation"", ""Fraction_removals"")","[0.6205536932982848, 0.6774706393035421, 0.5051544276790203, 0.5793812635271669, 0.39360057095277745, 0.48456048530986084, 0.6424693867433443, 0.6960989787318427, 0.5310765165318757, 0.6014150390520941, 0.41949887482544235, 0.5065740436016261, 0.6613371172289723, 0.7121365496446265, 0.5532641895009778, 0.6202745610758311, 0.4423492473912642, 0.5259968602825743, 0.5099497861260927, 0.5834573182071789, 0.37703012415703474, 0.47047560553347934, 0.27236190174994734, 0.3815076164874553, 0.5271313718419209, 0.5980616660656329, 0.39571644505930864, 0.4863589783004125, 0.2880152040307089, 0.3948129234261027, 0.5422232824427481, 0.6108897900763358, 0.41226742241546227, 0.5004273090531429, 0.30203029554041166, 0.40672575120935, 0.4319484044927444, 0.5171561438188327, 0.29315381420462416, 0.39918074207393056, 0.20502962344207246, 0.3242751799257616, 0.44255835944597927, 0.5261746055290827, 0.30335136972718757, 0.40784866426810956, 0.2122902502020493, 0.33044671267174186, 0.4518558972524059, 0.5340775126645451, 0.3126541000556748, 0.41575598504732353, 0.2195081192591824, 0.33658190137030514]"
"(""C0-social_optimal"", ""ETS_max"")",Any[]
"(""C7-equivalence_obligation"", ""ETS_avg"")","[196.53011542025723, 196.53011542025723, 280.17458742391733, 280.17458742391733, 412.23208524289197, 412.23208524289197, 199.85541120869757, 199.85541120869757, 288.0230053207553, 288.0230053207553, 428.2914975775155, 428.2914975775155, 202.37033102924312, 202.37033102924312, 294.2447384484671, 294.2447384484671, 441.478882721741, 441.478882721741, 176.6830948336832, 176.6830948336832, 235.4911511147439, 235.4911511147439, 327.17383085607645, 327.17383085607645, 179.99561009608905, 179.99561009608905, 242.29223081736728, 242.29223081736728, 338.98147760857006, 338.98147760857006, 182.75726588777582, 182.75726588777582, 248.1742795127337, 248.1742795127337, 349.3881573599159, 349.3881573599159, 160.8882911120204, 160.8882911120204, 203.57593723877017, 203.57593723877017, 276.6281342660464, 276.6281342660464, 162.9702339373461, 162.9702339373461, 207.59448006223727, 207.59448006223727, 282.3981028287063, 282.3981028287063, 164.85722870884192, 164.85722870884192, 211.21693973545538, 211.21693973545538, 287.7673379707582, 287.7673379707582]"
"(""C0-social_optimal"", ""Total_costs_per_net"")",Any[]
"(""C5-conditional_integration"", ""Emitter_cost_avg"")","[340.1556993276208, 340.1556993276208, 358.8957958953122, 358.8957958953122, 367.362232346369, 367.362232346369, 340.1595594698848, 340.1595594698848, 358.90122915809366, 358.90122915809366, 367.4058914729617, 367.4058914729617, 340.1621103856618, 340.1621103856618, 358.91208741232714, 358.91208741232714, 367.4524282165185, 367.4524282165185, 340.1537412781407, 340.1537412781407, 358.89127703531386, 358.89127703531386, 367.2844589176225, 367.2844589176225, 340.1539333549408, 340.1539333549408, 358.89144042557757, 358.89144042557757, 367.28675019698807, 367.28675019698807, 340.1537969307624, 340.1537969307624, 358.8928421117895, 358.8928421117895, 367.2885354566152, 367.2885354566152, 340.1523590690912, 340.1523590690912, 358.8911890031933, 358.8911890031933, 367.28239554062145, 367.28239554062145, 340.15086766775386, 340.15086766775386, 358.89121458146457, 358.89121458146457, 367.28255266234487, 367.28255266234487, 340.15156500734815, 340.15156500734815, 358.89120768298517, 358.89120768298517, 367.2826236901277, 367.2826236901277]"
"(""C7-equivalence_obligation"", ""Learning_gains_per_rem"")","[10.539074724256544, 10.539074724256544, 19.392355856293896, 19.3923558562939, 35.27626470599468, 35.27626470599467, 11.764583834803968, 11.764583834803963, 21.364748711853952, 21.36474871185396, 38.48227760043003, 38.48227760043002, 12.71362371122564, 12.713623711225644, 22.93987101755559, 22.939871017555593, 41.10671995705718, 41.10671995705718, 21.129205931457175, 21.12920593145717, 42.54402105536086, 42.54402105536085, 84.0513330306102, 84.0513330306102, 24.481239035249896, 24.481239035249885, 48.341558426362, 48.34155842636199, 94.92058716426104, 94.92058716426104, 27.35537417189501, 27.35537417189501, 53.442894508917284, 53.44289450891729, 104.01014534918586, 104.01014534918588, 30.458859641432916, 30.458859641432923, 68.82201647969165, 68.82201647969165, 152.09115592895478, 152.09115592895475, 36.21873178326894, 36.21873178326894, 80.5524734114062, 80.5524734114062, 174.2918457762556, 174.29184577625568, 41.59068796485852, 41.59068796485852, 90.99116087502918, 90.99116087502915, 194.20939619876177, 194.2093961987617]"
"(""C1-no_removals"", ""RC_max"")","[380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0, 380.0]"
"(""C1-no_removals"", ""ETS_price"")",Any[]
"(""C5-conditional_integration"", ""ETS_max"")","[300.1010098710669, 300.1010098710669, 300.05514945714583, 300.05514945714583, 300.1659769293772, 300.1659769293772, 300.12144610481647, 300.12144610481647, 300.08661458511364, 300.08661458511364, 300.22978246046205, 300.22978246046205, 300.1474725336728, 300.1474725336728, 300.1160771249859, 300.1160771249859, 300.29835736332524, 300.29835736332524, 300.0498551284639, 300.0498551284639, 300.0075897494198, 300.0075897494198, 300.00807376295313, 300.00807376295313, 300.06377330678356, 300.06377330678356, 300.01110826227534, 300.01110826227534, 300.01417114765155, 300.01417114765155, 300.07173326310516, 300.07173326310516, 300.01788274538717, 300.01788274538717, 300.02441186402933, 300.02441186402933, 300.0350041140976, 300.0350041140976, 300.00757970498944, 300.00757970498944, 300.0074201186214, 300.0074201186214, 300.0405267792886, 300.0405267792886, 300.0078070560992, 300.0078070560992, 300.0078615041485, 300.0078615041485, 300.0455199966815, 300.0455199966815, 300.0081448958444, 300.0081448958444, 300.00786910265026, 300.00786910265026]"
"(""C6-removal_obligation"", ""Learning_gains_per_em"")","[1.116533211343451, 1.116533211343451, 1.9666572111329776, 1.9666572111329776, 3.419019307089167, 3.419019307089167, 1.1344992019159232, 1.1344992019159232, 2.0091710099710793, 2.0091710099710793, 3.5145409423148983, 3.5145409423148983, 1.1493427934092264, 1.1493427934092264, 2.044158447444657, 2.044158447444657, 3.59290429621392, 3.59290429621392, 1.0366437891019593, 1.0366437891019593, 1.763128599237914, 1.763128599237914, 2.9515629969941175, 2.9515629969941175, 1.0499614313181398, 1.0499614313181398, 1.797235751215429, 1.797235751215429, 3.026696010414458, 3.026696010414458, 1.0615422038603033, 1.0615422038603033, 1.8269955794097428, 1.8269955794097428, 3.0934683029789123, 3.0934683029789123, 0.988518833640037, 0.988518833640037, 1.6264685881168233, 1.6264685881168233, 2.63826153263756, 2.63826153263756, 0.9954352148857197, 0.9954352148857197, 1.6458576873356172, 1.6458576873356172, 2.684594971388813, 2.684594971388813, 1.001702133392015, 1.001702133392015, 1.664191568930545, 1.664191568930545, 2.7259409662183263, 2.7259409662183263]"
"(""C8-rem_obl_gross"", ""ETS_max"")","[223.40400008724427, 223.40400008724427, 365.52300000514134, 365.52300000514134, 643.8779999988925, 643.8779999988925, 223.40399999481005, 223.40399999481005, 365.5230000020809, 365.5230000020809, 643.8750001050889, 643.8750001050889, 223.40400000152337, 223.40400000152337, 365.5230000000989, 365.5230000000989, 643.8750000873804, 643.8750000873804, 223.4039999747828, 223.4039999747828, 365.5229999993519, 365.5229999993519, 665.6565478889188, 665.6565478889188, 223.4039999215093, 223.4039999215093, 365.5230001063273, 365.5230001063273, 661.7369999998796, 661.7369999998796, 223.40400000154713, 223.40400000154713, 365.52299999726284, 365.52299999726284, 659.9474226001797, 659.9474226001797, 223.40399986971755, 223.40399986971755, 367.69799999991113, 367.69799999991113, 665.8830000002016, 665.8830000002016, 223.40399996881402, 223.40399996881402, 367.6980000000744, 367.6980000000744, 665.8769999989095, 665.8769999989095, 223.40400006429797, 223.40400006429797, 367.69799999967825, 367.69799999967825, 665.8829999994939, 665.8829999994939]"
"(""C7-equivalence_obligation"", ""Fraction_removals"")","[0.6512867624838324, 0.7035937481112576, 0.5266307415960995, 0.5976361303566847, 0.4058606133554851, 0.4949815213521623, 0.6755360115276637, 0.7242056097985142, 0.5551767125185129, 0.6219002056407359, 0.4350545789622909, 0.519796392117947, 0.6967089314498218, 0.7422025917323488, 0.5801876955161628, 0.6431595411887384, 0.46111116212022435, 0.5419444878021906, 0.5328553493053321, 0.6029270469095322, 0.38993616968432543, 0.4814457442316764, 0.2765037295667354, 0.38502817013172513, 0.5527837030716723, 0.6198661476109215, 0.4109637261214853, 0.49931916720326247, 0.2935597221840942, 0.39952576385648, 0.5703643017095417, 0.6348096564531102, 0.4292913190569814, 0.5148976211984342, 0.3091994695750218, 0.41281954913876856, 0.44507531023456104, 0.5283140136993767, 0.2975051975051974, 0.4028794178794178, 0.2046864653411905, 0.32398349554001205, 0.45754292969075794, 0.5389114902371442, 0.30925982484675857, 0.4128708511197449, 0.21299928369205576, 0.33104939113824744, 0.46866392483869757, 0.5483643361128928, 0.3200665277041405, 0.4220565485485196, 0.22076054753856947, 0.337646465407784]"
"(""C7-equivalence_obligation"", ""Learning_gains_per_em"")","[1.1189374211242513, 1.1189374211242513, 1.9659576947208817, 1.9659576947208817, 3.403477125322898, 3.403477125322898, 1.1365202982158877, 1.1365202982158877, 2.0074896726458324, 2.0074896726458324, 3.4950746687335124, 3.4950746687335124, 1.150749044163607, 1.150749044163607, 2.0411179092597895, 2.0411179092597895, 3.569575324516073, 3.569575324516073, 1.0430767864884831, 1.0430767864884831, 1.771500311430555, 1.771500311430555, 2.953177542665923, 2.953177542665923, 1.0573508292107194, 1.0573508292107194, 1.8072930886064442, 1.8072930886064442, 3.0304873893937385, 3.0304873893937385, 1.0704512862124864, 1.0704512862124864, 1.8383042433007928, 1.8383042433007928, 3.098300944679974, 3.098300944679974, 0.992654907477664, 0.992654907477664, 1.633709498482832, 1.633709498482832, 2.641754523111786, 2.641754523111786, 1.0015062711009828, 1.0015062711009828, 1.6567054351589912, 1.6567054351589912, 2.6901153890711353, 2.6901153890711353, 1.0096952394294825, 1.0096952394294825, 1.6779647820858936, 1.6779647820858936, 2.734300129028221, 2.734300129028221]"
"(""C8-rem_obl_gross"", ""Total_net_emissions"")","[16.9458, 19.559804999999997, 16.9038, 19.524105, 14.910600000000004, 17.844690000000003, 16.959, 19.571025, 16.911900000000003, 19.53099, 15.3702, 18.234810000000003, 16.975799999999996, 19.585305, 16.925699999999996, 19.542720000000003, 16.305300000000003, 19.029960000000003, 16.935599999999997, 19.551134999999995, 15.333899999999998, 18.18969, 14.215800000000002, 17.255505, 16.941, 19.555725, 15.856200000000001, 18.633645, 14.321100000000003, 17.345550000000003, 16.941, 19.555725, 16.476, 19.160474999999998, 14.393100000000002, 17.405805000000004, 16.948799999999995, 19.562355, 14.6361, 17.596739999999997, 13.7184, 16.832355, 16.9392, 19.554195, 14.673, 17.628464999999995, 13.8213, 16.921080000000003, 16.950899999999994, 19.564140000000005, 14.709899999999998, 17.658885, 13.9095, 16.994880000000002]"
"(""C8-rem_obl_gross"", ""Total_emissions"")","[34.3725, 34.3725, 34.3725, 34.3725, 34.471199999999996, 34.471199999999996, 34.3725, 34.3725, 34.3725, 34.3725, 34.467600000000004, 34.467600000000004, 34.3725, 34.3725, 34.3725, 34.3725, 34.469699999999996, 34.469699999999996, 34.3725, 34.3725, 34.3725, 34.3725, 34.4805, 34.4805, 34.3725, 34.3725, 34.3725, 34.3725, 34.484100000000005, 34.484100000000005, 34.3725, 34.3725, 34.3725, 34.3725, 34.4778, 34.4778, 34.3725, 34.3725, 34.3737, 34.3737, 34.478100000000005, 34.478100000000005, 34.3725, 34.3725, 34.37610000000001, 34.37610000000001, 34.4865, 34.4865, 34.3725, 34.3725, 34.3698, 34.3698, 34.478699999999996, 34.478699999999996]"
"(""C8-rem_obl_gross"", ""Fraction_removals"")","[0.49300458215142917, 0.5690538948287147, 0.4917826751036439, 0.5680152738380974, 0.4325523915616516, 0.5176695328274039, 0.49338861008073315, 0.5693803185686231, 0.4920183286057168, 0.5682155793148592, 0.4459318316331859, 0.529042056888208, 0.4938773728998471, 0.5697957669648702, 0.492419812349989, 0.5685568404974908, 0.47303283753557485, 0.5520779119052387, 0.492707833296967, 0.5688016583024218, 0.4461095352389264, 0.5291931049530875, 0.4122852046809066, 0.5004424239787706, 0.4928649356316823, 0.5689351952869299, 0.461304822168885, 0.5421090988435523, 0.4152957449955197, 0.5030013832461917, 0.4928649356316823, 0.5689351952869299, 0.47933667903120225, 0.5574361771765219, 0.41745993073804016, 0.5048409411273341, 0.49309186122627086, 0.5691280820423303, 0.42579355728362095, 0.5119245236910778, 0.39788735458160396, 0.4882042513943633, 0.49281256818677727, 0.5688906829587607, 0.42683725029889946, 0.5128116627540644, 0.4007742159975643, 0.4906580835979297, 0.4931529565786601, 0.5691800130918614, 0.42798910671577955, 0.5137907407084128, 0.4034229828850856, 0.4929095354523228]"
